,min_sample,epsilon,silhouette_score,calinski_harabasz_score
0,1,0.1,0.9426583022936679,1.0
1,1,0.2,0.9426583022936679,1.0
2,1,0.30000000000000004,0.9426583022936679,1.0
3,1,0.4,0.9426583022936679,1.0
4,1,0.5,0.9426583022936679,1.0
5,1,0.6,0.9426583022936679,1.0
6,1,0.7000000000000001,0.9426583022936679,1.0
7,1,0.8,0.9426583022936679,1.0
8,1,0.9,0.9426583022936679,1.0
9,1,1.0,-0.10163948018597777,72.05172035323903
10,6,0.1,0.7168931887148382,46.23199225471877
11,6,0.2,0.7168931887148382,46.23199225471877
12,6,0.30000000000000004,0.7168931887148382,46.23199225471877
13,6,0.4,0.7168931887148382,46.23199225471877
14,6,0.5,0.7168931887148382,46.23199225471877
15,6,0.6,0.7168931887148382,46.23199225471877
16,6,0.7000000000000001,0.7168931887148382,46.23199225471877
17,6,0.8,0.7168931887148382,46.23199225471877
18,6,0.9,0.7168931887148382,46.23199225471877
19,6,1.0,-0.0059482232583156726,225.92008943415436
20,11,0.1,0.6163666504340705,45.658851534096726
21,11,0.2,0.6163666504340705,45.658851534096726
22,11,0.30000000000000004,0.6163666504340705,45.658851534096726
23,11,0.4,0.6163666504340705,45.658851534096726
24,11,0.5,0.6163666504340705,45.658851534096726
25,11,0.6,0.6163666504340705,45.658851534096726
26,11,0.7000000000000001,0.6163666504340705,45.658851534096726
27,11,0.8,0.6163666504340705,45.658851534096726
28,11,0.9,0.6163666504340705,45.658851534096726
29,11,1.0,-0.025540809806806345,313.3552336038755
30,16,0.1,0.5279357218763447,47.706628627611344
31,16,0.2,0.5279357218763447,47.706628627611344
32,16,0.30000000000000004,0.5279357218763447,47.706628627611344
33,16,0.4,0.5279357218763447,47.706628627611344
34,16,0.5,0.5279357218763447,47.706628627611344
35,16,0.6,0.5279357218763447,47.706628627611344
36,16,0.7000000000000001,0.5279357218763447,47.706628627611344
37,16,0.8,0.5279357218763447,47.706628627611344
38,16,0.9,0.5279357218763447,47.706628627611344
39,16,1.0,-0.025956851083396175,308.7137253396992
40,21,0.1,0.45764678405620185,52.07218400200768
41,21,0.2,0.45764678405620185,52.07218400200768
42,21,0.30000000000000004,0.45764678405620185,52.07218400200768
43,21,0.4,0.45764678405620185,52.07218400200768
44,21,0.5,0.45764678405620185,52.07218400200768
45,21,0.6,0.45764678405620185,52.07218400200768
46,21,0.7000000000000001,0.45764678405620185,52.07218400200768
47,21,0.8,0.45764678405620185,52.07218400200768
48,21,0.9,0.45764678405620185,52.07218400200768
49,21,1.0,-0.019989278393435825,329.3379879347452
50,26,0.1,0.40692656167144614,55.803230127484525
51,26,0.2,0.40692656167144614,55.803230127484525
52,26,0.30000000000000004,0.40692656167144614,55.803230127484525
53,26,0.4,0.40692656167144614,55.803230127484525
54,26,0.5,0.40692656167144614,55.803230127484525
55,26,0.6,0.40692656167144614,55.803230127484525
56,26,0.7000000000000001,0.40692656167144614,55.803230127484525
57,26,0.8,0.40692656167144614,55.803230127484525
58,26,0.9,0.40692656167144614,55.803230127484525
59,26,1.0,-0.012649002474490328,346.7806913961847
60,31,0.1,0.3632275648967311,57.40031754697228
61,31,0.2,0.3632275648967311,57.40031754697228
62,31,0.30000000000000004,0.3632275648967311,57.40031754697228
63,31,0.4,0.3632275648967311,57.40031754697228
64,31,0.5,0.3632275648967311,57.40031754697228
65,31,0.6,0.3632275648967311,57.40031754697228
66,31,0.7000000000000001,0.3632275648967311,57.40031754697228
67,31,0.8,0.3632275648967311,57.40031754697228
68,31,0.9,0.3632275648967311,57.40031754697228
69,31,1.0,-0.01724105225006718,335.53982241324195
70,36,0.1,0.3285460775895667,59.609504689459264
71,36,0.2,0.3285460775895667,59.609504689459264
72,36,0.30000000000000004,0.3285460775895667,59.609504689459264
73,36,0.4,0.3285460775895667,59.609504689459264
74,36,0.5,0.3285460775895667,59.609504689459264
75,36,0.6,0.3285460775895667,59.609504689459264
76,36,0.7000000000000001,0.3285460775895667,59.609504689459264
77,36,0.8,0.3285460775895667,59.609504689459264
78,36,0.9,0.3285460775895667,59.609504689459264
79,36,1.0,0.008947449781131416,385.59925698797474
80,41,0.1,0.27290413786465595,61.712550263535604
81,41,0.2,0.27290413786465595,61.712550263535604
82,41,0.30000000000000004,0.27290413786465595,61.712550263535604
83,41,0.4,0.27290413786465595,61.712550263535604
84,41,0.5,0.27290413786465595,61.712550263535604
85,41,0.6,0.27290413786465595,61.712550263535604
86,41,0.7000000000000001,0.27290413786465595,61.712550263535604
87,41,0.8,0.27290413786465595,61.712550263535604
88,41,0.9,0.27290413786465595,61.712550263535604
89,41,1.0,0.007418140011674219,378.8949870412473
90,46,0.1,0.23270120584580029,62.25222410889454
91,46,0.2,0.23270120584580029,62.25222410889454
92,46,0.30000000000000004,0.23270120584580029,62.25222410889454
93,46,0.4,0.23270120584580029,62.25222410889454
94,46,0.5,0.23270120584580029,62.25222410889454
95,46,0.6,0.23270120584580029,62.25222410889454
96,46,0.7000000000000001,0.23270120584580029,62.25222410889454
97,46,0.8,0.23270120584580029,62.25222410889454
98,46,0.9,0.23270120584580029,62.25222410889454
99,46,1.0,0.03387067809891428,385.66691547520367
